run_id,stage,topology,topology_bundle,route_policy,collective,schedule_mode,ranks,bytes_per_rank,subchunks,backend,seed,simulation_end_ns,throughput_GBps,complete,rank_count,total_link_bytes,queued_chunks,max_link_utilization,total_queue_wait_ns,max_queue_wait_ns
pt__congestion_unaware__alltoall__fixed-route-pipeline__1048576,primary,pt,pt-dor-128,destination-based dimension-order routing,alltoall,fixed-route-pipeline,128,1048576,8,congestion_unaware,1,119081,8.805569318363132,True,128,0,0,0.0,0,0
pt__congestion_unaware__alltoall__fixed-route-pipeline__16777216,primary,pt,pt-dor-128,destination-based dimension-order routing,alltoall,fixed-route-pipeline,128,16777216,8,congestion_unaware,1,251921,66.59713164047459,True,128,0,0,0.0,0,0
pt__congestion_unaware__alltoall__fixed-route-pipeline__268435456,primary,pt,pt-dor-128,destination-based dimension-order routing,alltoall,fixed-route-pipeline,128,268435456,8,congestion_unaware,1,2496735,107.51459646298065,True,128,0,0,0.0,0,0
pt__congestion_unaware__reduce_scatter__topology-aware__1048576,primary,pt,pt-dor-128,destination-based dimension-order routing,reduce_scatter,topology-aware,128,1048576,8,congestion_unaware,1,18495,56.69510678561773,True,128,0,0,0.0,0,0
pt__congestion_unaware__reduce_scatter__topology-aware__16777216,primary,pt,pt-dor-128,destination-based dimension-order routing,reduce_scatter,topology-aware,128,16777216,8,congestion_unaware,1,38895,431.34634271757295,True,128,0,0,0.0,0,0
pt__congestion_unaware__reduce_scatter__topology-aware__268435456,primary,pt,pt-dor-128,destination-based dimension-order routing,reduce_scatter,topology-aware,128,268435456,8,congestion_unaware,1,365295,734.8456891005899,True,128,0,0,0.0,0,0
smoke__pt__alltoall__direct__1048576,smoke,pt,pt-dor-128,destination-based dimension-order routing,alltoall,direct,128,1048576,1,congestion_unaware,1,664,1579.1807228915663,True,128,0,0,0.0,0,0
smoke__tons__alltoall__direct__1048576,smoke,tons,tons-128,CPL-safe destination-based MCLB with two VCs,alltoall,direct,128,1048576,1,congestion_unaware,1,539,1945.4100185528757,True,128,0,0,0.0,0,0
tons__congestion_aware__allgather__topology-aware__1048576,primary,tons,tons-128,CPL-safe destination-based MCLB with two VCs,allgather,topology-aware,128,1048576,8,congestion_aware,1,191080,5.487628218547205,True,128,17045651456,0,0.9110320285,0,0
tons__congestion_aware__allgather__topology-aware__16777216,primary,tons,tons-128,CPL-safe destination-based MCLB with two VCs,allgather,topology-aware,128,16777216,8,congestion_aware,1,2802280,5.986987738555747,True,128,272730423296,0,0.9939335113,0,0
tons__congestion_aware__allgather__topology-aware__268435456,primary,tons,tons-128,CPL-safe destination-based MCLB with two VCs,allgather,topology-aware,128,268435456,8,congestion_aware,1,44581480,6.0212324938517074,True,128,4363686772736,0,0.9996186757,0,0
tons__congestion_aware__allreduce__topology-aware__1048576,primary,tons,tons-128,CPL-safe destination-based MCLB with two VCs,allreduce,topology-aware,128,1048576,8,congestion_aware,1,36862,28.445987738050025,True,128,266338304,0,0.07378872552,0,0
tons__congestion_aware__allreduce__topology-aware__16777216,primary,tons,tons-128,CPL-safe destination-based MCLB with two VCs,allreduce,topology-aware,128,16777216,8,congestion_aware,1,77662,216.02863691380597,True,128,4261412864,0,0.5603770184,0,0
tons__congestion_aware__allreduce__topology-aware__268435456,primary,tons,tons-128,CPL-safe destination-based MCLB with two VCs,allreduce,topology-aware,128,268435456,8,congestion_aware,1,730462,367.48722863064745,True,128,68182605824,0,0.9532597178,0,0
tons__congestion_aware__alltoall__direct__1048576,primary,tons,tons-128,CPL-safe destination-based MCLB with two VCs,alltoall,direct,128,1048576,8,congestion_aware,1,6079,172.49152821187695,True,128,449445888,410979,0.7580194111,27588137,272
tons__congestion_aware__alltoall__direct__16777216,primary,tons,tons-128,CPL-safe destination-based MCLB with two VCs,alltoall,direct,128,16777216,8,congestion_aware,1,75877,221.11069230465094,True,128,7191134208,433372,0.971677847,880643295,5045
tons__congestion_aware__alltoall__direct__268435456,primary,tons,tons-128,CPL-safe destination-based MCLB with two VCs,alltoall,direct,128,268435456,8,congestion_aware,1,1198930,223.89585380297433,True,128,115058147328,433657,0.9839173263,14562347340,81845
tons__congestion_aware__alltoall__fixed-route-pipeline__1048576,primary,tons,tons-128,CPL-safe destination-based MCLB with two VCs,alltoall,fixed-route-pipeline,128,1048576,8,congestion_aware,1,67292,15.582476371634073,True,128,449445888,0,0.06847767937,0,0
tons__congestion_aware__alltoall__fixed-route-pipeline__16777216,primary,tons,tons-128,CPL-safe destination-based MCLB with two VCs,alltoall,fixed-route-pipeline,128,16777216,8,congestion_aware,1,145172,115.56785054969278,True,128,7191134208,0,0.5078665307,0,0
tons__congestion_aware__alltoall__fixed-route-pipeline__268435456,primary,tons,tons-128,CPL-safe destination-based MCLB with two VCs,alltoall,fixed-route-pipeline,128,268435456,8,congestion_aware,1,1391252,192.94524356478914,True,128,115058147328,0,0.8479039024,0,0
tons__congestion_aware__reduce_scatter__topology-aware__1048576,primary,tons,tons-128,CPL-safe destination-based MCLB with two VCs,reduce_scatter,topology-aware,128,1048576,8,congestion_aware,1,18503,56.670593957736585,True,128,133169152,0,0.07350159434,0,0
tons__congestion_aware__reduce_scatter__topology-aware__16777216,primary,tons,tons-128,CPL-safe destination-based MCLB with two VCs,reduce_scatter,topology-aware,128,16777216,8,congestion_aware,1,38903,431.25764079891013,True,128,2130706432,0,0.5593398967,0,0
tons__congestion_aware__reduce_scatter__topology-aware__268435456,primary,tons,tons-128,CPL-safe destination-based MCLB with two VCs,reduce_scatter,topology-aware,128,268435456,8,congestion_aware,1,365303,734.8295962529736,True,128,34091302912,0,0.9530718335,0,0
tons__congestion_unaware__allgather__topology-aware__1048576,primary,tons,tons-128,CPL-safe destination-based MCLB with two VCs,allgather,topology-aware,128,1048576,8,congestion_unaware,1,191080,5.487628218547205,True,128,0,0,0.0,0,0
tons__congestion_unaware__allgather__topology-aware__16777216,primary,tons,tons-128,CPL-safe destination-based MCLB with two VCs,allgather,topology-aware,128,16777216,8,congestion_unaware,1,2802280,5.986987738555747,True,128,0,0,0.0,0,0
tons__congestion_unaware__allgather__topology-aware__268435456,primary,tons,tons-128,CPL-safe destination-based MCLB with two VCs,allgather,topology-aware,128,268435456,8,congestion_unaware,1,44581480,6.0212324938517074,True,128,0,0,0.0,0,0
tons__congestion_unaware__allreduce__topology-aware__1048576,primary,tons,tons-128,CPL-safe destination-based MCLB with two VCs,allreduce,topology-aware,128,1048576,8,congestion_unaware,1,36862,28.445987738050025,True,128,0,0,0.0,0,0
tons__congestion_unaware__allreduce__topology-aware__16777216,primary,tons,tons-128,CPL-safe destination-based MCLB with two VCs,allreduce,topology-aware,128,16777216,8,congestion_unaware,1,77662,216.02863691380597,True,128,0,0,0.0,0,0
tons__congestion_unaware__allreduce__topology-aware__268435456,primary,tons,tons-128,CPL-safe destination-based MCLB with two VCs,allreduce,topology-aware,128,268435456,8,congestion_unaware,1,730462,367.48722863064745,True,128,0,0,0.0,0,0
tons__congestion_unaware__alltoall__direct__1048576,primary,tons,tons-128,CPL-safe destination-based MCLB with two VCs,alltoall,direct,128,1048576,8,congestion_unaware,1,3864,271.3706004140787,True,128,0,0,0.0,0,0
tons__congestion_unaware__alltoall__direct__16777216,primary,tons,tons-128,CPL-safe destination-based MCLB with two VCs,alltoall,direct,128,16777216,8,congestion_unaware,1,4824,3477.8640132669984,True,128,0,0,0.0,0,0
tons__congestion_unaware__alltoall__direct__268435456,primary,tons,tons-128,CPL-safe destination-based MCLB with two VCs,alltoall,direct,128,268435456,8,congestion_unaware,1,20184,13299.41815299247,True,128,0,0,0.0,0,0
tons__congestion_unaware__alltoall__fixed-route-pipeline__1048576,primary,tons,tons-128,CPL-safe destination-based MCLB with two VCs,alltoall,fixed-route-pipeline,128,1048576,8,congestion_unaware,1,67292,15.582476371634073,True,128,0,0,0.0,0,0
tons__congestion_unaware__alltoall__fixed-route-pipeline__16777216,primary,tons,tons-128,CPL-safe destination-based MCLB with two VCs,alltoall,fixed-route-pipeline,128,16777216,8,congestion_unaware,1,145172,115.56785054969278,True,128,0,0,0.0,0,0
tons__congestion_unaware__alltoall__fixed-route-pipeline__268435456,primary,tons,tons-128,CPL-safe destination-based MCLB with two VCs,alltoall,fixed-route-pipeline,128,268435456,8,congestion_unaware,1,1391252,192.94524356478914,True,128,0,0,0.0,0,0
tons__congestion_unaware__reduce_scatter__topology-aware__1048576,primary,tons,tons-128,CPL-safe destination-based MCLB with two VCs,reduce_scatter,topology-aware,128,1048576,8,congestion_unaware,1,18503,56.670593957736585,True,128,0,0,0.0,0,0
tons__congestion_unaware__reduce_scatter__topology-aware__16777216,primary,tons,tons-128,CPL-safe destination-based MCLB with two VCs,reduce_scatter,topology-aware,128,16777216,8,congestion_unaware,1,38903,431.25764079891013,True,128,0,0,0.0,0,0
tons__congestion_unaware__reduce_scatter__topology-aware__268435456,primary,tons,tons-128,CPL-safe destination-based MCLB with two VCs,reduce_scatter,topology-aware,128,268435456,8,congestion_unaware,1,365303,734.8295962529736,True,128,0,0,0.0,0,0
